,A1,A10,A6,E1,E19P,E19S,E19V,E20P,E20S,E20T,RES,S19,S1M,S1S,S20,S9M,STBY
2020-01-01 18:00:00,1.8581,19.8539,8.5725,1.1352,282.9175,217.6628,40.4553,1000.8604,508.8847,3271.4459,1.1352,196.5442,196.5442,196.5442,196.5442,196.5442,196.5442
2020-01-01 18:30:00,1.8531,19.4592,8.3827,1.1378,282.4602,216.6438,40.1056,998.7794,504.4959,3287.3209,1.1378,207.4564,207.4564,207.4564,207.4564,207.4564,207.4564
2020-01-01 19:00:00,1.8244,19.0722,8.5372,1.0972,280.3265,215.4343,39.761,998.1394,501.5084,3298.8895,1.0972,201.314,201.314,201.314,201.314,201.314,201.314
2020-01-01 19:30:00,1.8094,18.7462,9.275,1.0588,277.8787,214.1798,39.1496,996.0935,499.5683,3301.9139,1.0588,205.3808,205.3808,205.3808,205.3808,205.3808,205.3808
2020-01-01 20:00:00,1.7749,18.3901,9.0916,1.0433,274.9167,210.9818,38.8313,996.6073,499.3997,3297.6611,1.0433,202.4998,202.4998,202.4998,202.4998,202.4998,202.4998
2020-01-01 20:30:00,1.7476,18.1752,8.9019,1.0288,274.3563,209.0569,38.3002,996.1827,497.8826,3291.3147,1.0288,201.0705,201.0705,201.0705,201.0705,201.0705,201.0705
2020-01-01 21:00:00,1.7017,17.5969,8.8368,0.9848,271.228,206.7622,37.608,994.6174,494.9584,3285.2166,0.9848,225.0914,225.0914,225.0914,225.0914,225.0914,225.0914
2020-01-01 21:30:00,1.6546,17.0853,9.0696,0.946,269.2317,205.0842,37.2131,998.4613,491.7268,3283.7327,0.946,181.0981,181.0981,181.0981,181.0981,181.0981,181.0981
2020-01-01 22:00:00,1.6216,16.4417,8.8846,0.8904,263.7262,202.0863,36.4595,993.732,493.3047,3309.4171,0.8904,208.0752,208.0752,208.0752,208.0752,208.0752,208.0752
2020-01-01 22:30:00,1.5874,16.1954,8.7587,0.8504,259.8935,199.4727,35.6149,985.0796,493.0318,3304.0821,0.8504,212.4668,212.4668,212.4668,212.4668,212.4668,212.4668
2020-01-01 23:00:00,1.5609,15.6827,8.7079,0.8068,260.5157,197.3784,34.8002,984.7189,490.7362,3283.9119,0.8068,190.923,190.923,190.923,190.923,190.923,190.923
2020-01-01 23:30:00,1.5548,15.6587,8.9031,0.7486,256.7686,196.7671,34.3205,981.4309,486.4576,3289.2932,0.7486,194.8489,194.8489,194.8489,194.8489,194.8489,194.8489
2020-01-02 00:00:00,1.5286,15.3525,8.8979,0.7214,251.8532,196.3069,33.9823,987.6508,482.1841,3289.6912,0.7214,222.0062,222.0062,222.0062,222.0062,222.0062,222.0062
2020-01-02 00:30:00,1.521,15.1933,8.8019,0.6893,250.2245,197.1229,33.7326,988.6303,482.1179,3285.0643,0.6893,227.8487,227.8487,227.8487,227.8487,227.8487,227.8487
2020-01-02 01:00:00,1.5062,15.1616,8.7907,0.6677,251.4194,195.9305,33.4369,987.6494,483.2151,3298.2676,0.6677,217.5608,217.5608,217.5608,217.5608,217.5608,217.5608
2020-01-02 01:30:00,1.5182,15.1913,8.7452,0.6557,250.7241,195.9924,33.272,983.9825,483.3971,3282.2012,0.6557,246.3182,246.3182,246.3182,246.3182,246.3182,246.3182
2020-01-02 02:00:00,1.4995,15.4241,8.6963,0.6423,251.4783,198.5316,33.3702,985.2607,483.9429,3272.0353,0.6423,253.3452,253.3452,253.3452,253.3452,253.3452,253.3452
2020-01-02 02:30:00,1.5033,15.5653,8.7415,0.6249,250.7987,199.7302,33.4003,984.6874,488.9298,3294.8387,0.6249,241.3596,241.3596,241.3596,241.3596,241.3596,241.3596
2020-01-02 03:00:00,1.5022,15.7774,9.0264,0.6263,250.7716,203.4604,33.5155,989.7514,494.3044,3307.1253,0.6263,249.1944,249.1944,249.1944,249.1944,249.1944,249.1944
2020-01-02 03:30:00,1.5245,16.1312,9.1784,0.6252,253.7278,208.293,33.8523,992.6999,500.4474,3320.6325,0.6252,244.1619,244.1619,244.1619,244.1619,244.1619,244.1619
2020-01-02 04:00:00,1.554,17.0744,9.3832,0.6367,259.6228,216.166,34.6785,999.8116,516.8536,3376.4853,0.6367,246.5016,246.5016,246.5016,246.5016,246.5016,246.5016
2020-01-02 04:30:00,1.6032,18.0181,9.7963,0.6405,265.3094,222.8845,35.387,1013.3481,531.435,3416.4983,0.6405,224.2062,224.2062,224.2062,224.2062,224.2062,224.2062
2020-01-02 05:00:00,1.6935,19.708,10.3322,0.6762,273.8544,235.8643,37.0379,1042.8427,559.3103,3460.6924,0.6762,225.2587,225.2587,225.2587,225.2587,225.2587,225.2587
2020-01-02 05:30:00,1.7667,21.5087,10.6988,0.697,284.4436,244.6814,38.41,1071.0453,585.3478,3477.576,0.697,224.314,224.314,224.314,224.314,224.314,224.314
2020-01-02 06:00:00,1.9223,23.8582,11.6517,0.7305,304.3766,261.7797,40.4884,1114.7262,634.1448,3532.4786,0.7305,223.6515,223.6515,223.6515,223.6515,223.6515,223.6515
2020-01-02 06:30:00,2.0384,25.6065,12.1577,0.7715,313.6047,273.0528,41.8998,1143.1161,664.4964,3578.183,0.7715,235.2197,235.2197,235.2197,235.2197,235.2197,235.2197
2020-01-02 07:00:00,2.1825,27.8014,12.4809,0.7916,322.6117,283.1326,42.7196,1163.0959,698.9914,3624.698,0.7916,201.7936,201.7936,201.7936,201.7936,201.7936,201.7936
2020-01-02 07:30:00,2.3019,28.4635,12.1417,0.8085,323.302,286.3039,42.6902,1173.9695,724.3755,3645.7279,0.8085,209.575,209.575,209.575,209.575,209.575,209.575
2020-01-02 08:00:00,2.4722,29.5908,10.3527,0.8235,319.2785,290.0143,43.4923,1180.5997,755.3093,3610.1508,0.8235,162.262,162.262,162.262,162.262,162.262,162.262
2020-01-02 08:30:00,2.5671,30.6128,8.7314,0.804,311.3291,291.6048,43.8763,1181.3254,763.0898,3578.96,0.804,179.4236,179.4236,179.4236,179.4236,179.4236,179.4236
2020-01-02 09:00:00,2.7083,30.9178,8.2771,0.7704,305.2003,295.5756,44.257,1185.065,772.178,3593.1316,0.7704,168.7497,168.7497,168.7497,168.7497,168.7497,168.7497
2020-01-02 09:30:00,2.7859,31.5418,7.0602,0.7437,302.2768,295.9611,44.7959,1178.9156,779.5154,3583.416,0.7437,169.9349,169.9349,169.9349,169.9349,169.9349,169.9349
2020-01-02 10:00:00,2.8246,32.2545,5.7716,0.7519,300.9205,296.3367,45.1785,1171.5084,785.8947,3577.319,0.7519,171.9831,171.9831,171.9831,171.9831,171.9831,171.9831
2020-01-02 10:30:00,2.8644,32.6072,5.5436,0.7303,301.7532,296.6203,45.4343,1178.5802,789.1546,3609.0483,0.7303,174.5397,174.5397,174.5397,174.5397,174.5397,174.5397
2020-01-02 11:00:00,2.8183,32.443,5.3675,0.7294,298.6814,296.6312,44.9482,1178.7101,794.4945,3619.6662,0.7294,151.9504,151.9504,151.9504,151.9504,151.9504,151.9504
